country,amount,success,PSP,3D_secured,card,hour,day,day_of_week,multiple_attempts,retry_count
Germany,89,0,UK_Card,0,Visa,0,1,1,0,0
Germany,89,1,UK_Card,0,Visa,0,1,1,1,1
Germany,238,0,UK_Card,1,Diners,0,1,1,0,0
Germany,238,1,UK_Card,1,Diners,0,1,1,1,1
Austria,124,0,Simplecard,0,Diners,0,1,1,0,0
Switzerland,282,0,UK_Card,0,Master,0,1,1,0,0
Switzerland,282,0,Simplecard,0,Master,0,1,1,1,1
Germany,117,1,UK_Card,0,Master,0,1,1,0,0
Switzerland,174,0,Simplecard,0,Visa,0,1,1,0,0
Switzerland,174,0,Simplecard,0,Visa,0,1,1,1,1
Austria,232,0,Simplecard,1,Diners,0,1,1,0,0
Austria,232,0,UK_Card,1,Diners,0,1,1,1,1
Austria,232,0,UK_Card,1,Diners,0,1,1,1,2
Austria,232,0,UK_Card,1,Diners,0,1,1,1,3
Austria,232,1,UK_Card,1,Diners,0,1,1,1,4
Germany,268,0,Simplecard,0,Master,0,1,1,0,0
Switzerland,89,0,Simplecard,0,Master,0,1,1,0,0
Switzerland,89,0,UK_Card,0,Master,0,1,1,1,1
Switzerland,89,0,Moneycard,0,Master,0,1,1,1,2
Germany,205,0,UK_Card,0,Master,0,1,1,0,0
Germany,205,0,UK_Card,0,Master,0,1,1,1,1
Germany,205,1,Moneycard,0,Master,0,1,1,1,2
Switzerland,111,0,Simplecard,0,Master,0,1,1,0,0
Switzerland,111,0,UK_Card,0,Master,0,1,1,1,1
Switzerland,111,0,UK_Card,0,Master,0,1,1,1,2
Switzerland,111,0,UK_Card,0,Master,0,1,1,1,3
Switzerland,111,0,UK_Card,0,Master,0,1,1,1,4
Switzerland,111,0,UK_Card,0,Master,0,1,1,1,5
Switzerland,277,1,Goldcard,0,Diners,0,1,1,0,0
Switzerland,137,0,UK_Card,0,Diners,0,1,1,0,0
Switzerland,148,0,Moneycard,0,Diners,0,1,1,0,0
Austria,394,0,UK_Card,0,Diners,0,1,1,0,0
Austria,394,0,UK_Card,0,Diners,0,1,1,1,1
Austria,394,0,UK_Card,0,Diners,0,1,1,1,2
Austria,394,1,UK_Card,0,Diners,0,1,1,1,3
Germany,84,0,Moneycard,0,Master,0,1,1,0,0
Austria,34,0,Moneycard,0,Visa,0,1,1,0,0
Austria,34,0,Simplecard,0,Visa,0,1,1,1,1
Austria,34,0,Goldcard,0,Visa,0,1,1,1,2
Switzerland,324,0,UK_Card,0,Master,0,1,1,0,0
Germany,251,0,UK_Card,1,Master,0,1,1,0,0
Germany,251,0,UK_Card,1,Master,0,1,1,1,1
Germany,251,0,UK_Card,1,Master,0,1,1,1,2
Germany,251,0,Simplecard,1,Master,0,1,1,1,3
Germany,100,0,UK_Card,0,Master,0,1,1,0,0
Germany,100,0,UK_Card,0,Master,0,1,1,1,1
Germany,100,0,UK_Card,0,Master,0,1,1,1,2
Germany,100,0,UK_Card,0,Master,0,1,1,1,3
Germany,100,0,Simplecard,0,Master,0,1,1,1,4
Germany,221,0,Moneycard,0,Visa,0,1,1,0,0
Switzerland,340,0,Simplecard,0,Diners,0,1,1,0,0
Switzerland,340,1,UK_Card,0,Diners,0,1,1,1,1
Germany,257,0,UK_Card,1,Master,1,1,1,0,0
Germany,257,0,Goldcard,1,Master,1,1,1,1,1
Germany,257,0,UK_Card,1,Master,1,1,1,1,2
Germany,257,1,UK_Card,1,Master,1,1,1,1,3
Switzerland,193,0,UK_Card,0,Visa,1,1,1,0,0
Germany,36,1,Simplecard,1,Master,1,1,1,0,0
Switzerland,146,0,Simplecard,0,Diners,1,1,1,0,0
Germany,192,0,UK_Card,0,Master,1,1,1,0,0
Germany,192,1,UK_Card,0,Master,1,1,1,1,1
Germany,14,0,Moneycard,0,Master,1,1,1,0,0
Germany,14,0,UK_Card,0,Master,1,1,1,1,1
Germany,175,0,Moneycard,0,Visa,1,1,1,0,0
Germany,175,0,Simplecard,0,Visa,1,1,1,1,1
Germany,175,1,Simplecard,0,Visa,1,1,1,1,2
Germany,270,0,Simplecard,0,Master,1,1,1,0,0
Germany,270,0,UK_Card,0,Master,1,1,1,1,1
Austria,256,0,UK_Card,0,Master,1,1,1,0,0
Austria,256,0,UK_Card,0,Master,1,1,1,1,1
Austria,256,0,UK_Card,0,Master,1,1,1,1,2
Austria,256,1,Moneycard,0,Master,1,1,1,1,3
Germany,310,0,Goldcard,0,Visa,1,1,1,0,0
Germany,310,0,Simplecard,0,Visa,1,1,1,1,1
Germany,310,0,UK_Card,0,Visa,1,1,1,1,2
Germany,310,0,UK_Card,0,Visa,1,1,1,1,3
Germany,310,0,Simplecard,0,Visa,1,1,1,1,4
Germany,310,0,UK_Card,0,Visa,1,1,1,1,5
Germany,310,1,UK_Card,0,Visa,1,1,1,1,6
Austria,239,0,Simplecard,0,Master,1,1,1,0,0
Germany,37,0,UK_Card,0,Master,1,1,1,0,0
Germany,37,0,Simplecard,0,Master,1,1,1,1,1
Germany,37,0,Moneycard,0,Master,1,1,1,1,2
Germany,37,0,UK_Card,0,Master,1,1,1,1,4
Germany,37,0,UK_Card,0,Master,1,1,1,1,3
Germany,37,0,Simplecard,0,Master,1,1,1,1,5
Germany,56,0,Simplecard,1,Visa,1,1,1,0,0
Germany,56,0,UK_Card,1,Visa,1,1,1,1,1
Germany,56,0,Moneycard,1,Visa,1,1,1,1,2
Germany,192,0,Goldcard,1,Diners,1,1,1,0,1
Germany,192,0,Simplecard,1,Diners,1,1,1,1,2
Germany,324,0,UK_Card,0,Visa,1,1,1,0,0
Germany,324,0,UK_Card,0,Visa,1,1,1,1,1
Germany,324,0,UK_Card,0,Visa,1,1,1,1,2
Germany,324,1,Simplecard,0,Visa,1,1,1,1,3
Germany,105,0,UK_Card,0,Master,1,1,1,0,0
Germany,105,0,Simplecard,0,Master,1,1,1,1,1
Germany,105,0,UK_Card,0,Master,1,1,1,1,2
Germany,105,0,Moneycard,0,Master,1,1,1,1,3
Germany,105,0,Goldcard,0,Master,1,1,1,1,4
Germany,228,0,UK_Card,0,Diners,1,1,1,0,0
Germany,228,0,UK_Card,0,Diners,1,1,1,1,1
Germany,228,1,UK_Card,0,Diners,1,1,1,1,2
Germany,322,0,UK_Card,0,Master,1,1,1,0,0
Germany,322,0,Moneycard,0,Master,1,1,1,1,1
Austria,367,0,Moneycard,0,Visa,1,1,1,0,0
Austria,367,0,UK_Card,0,Visa,1,1,1,1,1
Austria,367,1,UK_Card,0,Visa,1,1,1,1,2
Switzerland,190,0,UK_Card,0,Diners,1,1,1,0,0
Switzerland,190,0,Simplecard,0,Diners,1,1,1,1,1
Switzerland,190,0,UK_Card,0,Diners,1,1,1,1,2
Switzerland,190,0,UK_Card,0,Diners,1,1,1,1,3
Switzerland,190,0,UK_Card,0,Diners,1,1,1,1,4
Germany,186,0,UK_Card,0,Master,2,1,1,0,0
Germany,186,1,UK_Card,0,Master,2,1,1,1,1
Germany,121,0,Moneycard,1,Master,2,1,1,0,0
Germany,121,0,UK_Card,1,Master,2,1,1,1,1
Germany,121,1,UK_Card,1,Master,2,1,1,1,2
Germany,274,1,UK_Card,0,Master,2,1,1,0,0
Germany,264,0,Simplecard,1,Master,2,1,1,0,0
Germany,132,0,UK_Card,0,Master,2,1,1,0,0
Germany,132,0,Simplecard,0,Master,2,1,1,1,1
Germany,132,0,Moneycard,0,Master,2,1,1,1,2
Germany,132,0,Simplecard,0,Master,2,1,1,1,3
Germany,132,0,Moneycard,0,Master,2,1,1,1,4
Germany,228,0,Simplecard,0,Diners,2,1,1,0,2
Switzerland,279,0,UK_Card,1,Master,2,1,1,0,0
Switzerland,279,0,Simplecard,1,Master,2,1,1,1,1
Switzerland,279,0,UK_Card,1,Master,2,1,1,1,2
Switzerland,279,1,UK_Card,1,Master,2,1,1,1,3
Austria,104,1,Moneycard,0,Master,2,1,1,0,0
Switzerland,184,0,Simplecard,0,Master,2,1,1,0,0
Austria,258,0,UK_Card,0,Diners,2,1,1,0,0
Austria,209,1,UK_Card,0,Master,2,1,1,0,0
Germany,260,0,UK_Card,0,Master,2,1,1,0,0
Germany,260,0,UK_Card,0,Master,2,1,1,1,1
Germany,260,0,UK_Card,0,Master,2,1,1,1,2
Germany,260,0,Moneycard,0,Master,2,1,1,1,3
Switzerland,383,0,UK_Card,0,Master,2,1,1,0,0
Germany,109,0,Moneycard,0,Master,2,1,1,0,0
Austria,161,0,Simplecard,0,Master,2,1,1,0,0
Germany,127,0,Simplecard,0,Master,2,1,1,0,0
Germany,127,0,Moneycard,0,Master,2,1,1,1,1
Germany,127,0,Moneycard,0,Master,2,1,1,1,2
Germany,233,1,Simplecard,1,Visa,2,1,1,0,0
Germany,129,0,UK_Card,1,Master,2,1,1,0,0
Germany,129,0,Goldcard,1,Master,2,1,1,1,1
Germany,129,0,UK_Card,1,Master,2,1,1,1,2
Germany,129,1,UK_Card,1,Master,2,1,1,1,3
Germany,243,0,Simplecard,0,Master,2,1,1,0,0
Germany,243,0,Moneycard,0,Master,2,1,1,1,1
Germany,243,1,UK_Card,0,Master,2,1,1,1,2
Switzerland,131,0,UK_Card,0,Master,2,1,1,0,0
Switzerland,131,1,UK_Card,0,Master,2,1,1,1,1
Germany,225,0,UK_Card,0,Master,2,1,1,0,0
Switzerland,246,0,Simplecard,0,Diners,2,1,1,0,0
Germany,126,1,UK_Card,1,Diners,2,1,1,0,0
Germany,82,0,UK_Card,1,Master,2,1,1,0,0
Germany,82,0,UK_Card,1,Master,2,1,1,1,1
Germany,82,0,UK_Card,1,Master,2,1,1,1,2
Germany,82,0,UK_Card,1,Master,2,1,1,1,3
Germany,82,1,Moneycard,1,Master,2,1,1,1,4
Austria,329,0,UK_Card,0,Master,2,1,1,0,0
Austria,329,0,Moneycard,0,Master,2,1,1,1,1
Austria,329,1,UK_Card,0,Master,3,1,1,1,2
Germany,335,1,UK_Card,0,Master,3,1,1,0,0
Germany,173,0,UK_Card,1,Master,3,1,1,0,0
Germany,173,1,UK_Card,1,Master,3,1,1,1,1
Germany,222,0,UK_Card,0,Master,3,1,1,0,0
Germany,222,1,UK_Card,0,Master,3,1,1,1,1
